"Protein"	"Organism"	"AA_1.Intensity"	"AA_2.Intensity"	"AA_3.Intensity"	"AB_1.Intensity"	"AB_2.Intensity"	"AG_1.Intensity"	"AG_2.Intensity"	"BA_1.Intensity"	"BA_2.Intensity"	"BA_3.Intensity"	"BB_2.Intensity"	"BB_3.Intensity"	"BG_1.Intensity"	"BG_2.Intensity"
"sp|O95297|MPZL1_HUMAN"	"HUMAN"	83213.336	0	84337.94	49215.312	0	92076.33	0	106968.52	100585.42	87915.04	83497.04	77231.04	89324.875	87170.93
"sp|O95298|NDUC2_HUMAN"	"HUMAN"	415801.72	314003.62	490341	520024.25	510513.6	433399.1	509486.62	550522.3	567015.75	633662.94	478074.4	540592.4	667839.75	521985.22
"sp|O95299|NDUAA_HUMAN"	"HUMAN"	981514.1	1068365.2	945557.8	1226600.1	1138934.1	1178911.5	1157035.4	1285259.6	1242244.4	1197831.8	985119.5	923896.06	1278726.9	1057617.9
"sp|O95302|FKBP9_HUMAN"	"HUMAN"	39525.918	48191.457	22122.588	0	0	0	17234.24	0	35809.438	77368.445	0	28827.604	114588.875	66600.625
"sp|O95319|CELF2_HUMAN"	"HUMAN"	655242.7	596449.1	651031.4	547204.1	702877.94	656765.94	635271.7	606290.4	705868.9	701775.06	617237.44	573281.25	655168.94	770553.7
"sp|O95336|6PGL_HUMAN"	"HUMAN"	1799750.2	1872598.8	1639461.5	2029680.5	1900307	1792148.8	1967675.6	1805533.2	2009534.5	2156363	1636000.2	1658148.4	1949359.9	2022304.9
"sp|O95347|SMC2_HUMAN"	"HUMAN"	3924077	4237204.5	3931811.2	4276630.5	4269993	4515076	4074830	3838539.8	4602363.5	4008608.5	4566368	3840781.5	4097126	3992314.5
"sp|O95352|ATG7_HUMAN"	"HUMAN"	383486.6	374817.38	106615.55	255827	276743.88	396908.72	346342.5	512163.78	153940.36	206413.58	377299.84	331243.3	281362.3	581176.44
"sp|O95363|SYFM_HUMAN"	"HUMAN"	628876.56	485720.25	601801	605006.2	623536	580133.56	615847.7	431782.47	546661.1	244613.78	497362.22	618738	568224.4	674549.25
"sp|O95365|ZBT7A_HUMAN"	"HUMAN"	361163.25	47668.312	287631.78	270852.7	224066.22	347526.53	793644.06	137642.9	270364.97	264451.78	425331.2	432681.8	218380.97	220110.22
"sp|O95372|LYPA2_HUMAN"	"HUMAN"	2578554.5	2847484.8	2650999.2	2944005.8	3026305	3076057.8	2988633.8	2448710	2712910.2	2624755.8	2992600.5	2977411.2	2999909.2	2801765.8
"sp|O95373|IPO7_HUMAN"	"HUMAN"	13959089	14260486	14587323	14215636	13909960	14201454	14313498	14994856	15651635	15352683	14557425	14535051	14998530	13975535
"sp|O95376|ARI2_HUMAN"	"HUMAN"	1970955.2	1338445.9	1707053.6	1718977.6	1619024.5	1267841.9	1694240.8	2311396	1764806	2163636.5	1955097	1774435.5	1395597.9	1964444.1
"sp|O95379|TFIP8_HUMAN"	"HUMAN"	100946.37	186953.03	200667.48	222455.62	207894.62	224715.3	131858.45	334146	334878.84	282511.5	304416.4	270389.56	325735.4	87867.34
"sp|O95391|SLU7_HUMAN"	"HUMAN"	1372245.1	566551.4	1131771	1474213.4	1359943.9	1191287.2	1326725.4	1149012.5	839056.75	1067269.8	647689.06	604697.3	977749.2	1208937.5
"sp|O95394|AGM1_HUMAN"	"HUMAN"	3753951.5	3737328.5	3942711.8	3698830	4119699.5	3580626.8	3841061.8	4101566.5	4040474.5	4297402.5	4070581.8	3929059.8	3824276	4101597.8
"sp|O95396|MOCS3_HUMAN"	"HUMAN"	725017.7	728189.4	619922.3	747231.4	846816.75	761564.3	849920.56	992808.8	514228.88	561335.1	784992.6	673457.94	694020.56	651109.8
"sp|O95400|CD2B2_HUMAN"	"HUMAN"	1268692.9	997867.1	980229.3	870605.94	1051648.5	1077030	994474	1510733.9	1176460.1	1369871.5	1084578.8	1265469.9	972019.6	1069972.9
"sp|O95402|MED26_HUMAN"	"HUMAN"	41129.18	70025.664	81590.87	35591.56	93751.08	94784.1	0	279925.9	248606.88	398006.1	0	367511.16	243887.2	265930.06
"sp|O95429|BAG4_HUMAN"	"HUMAN"	701778.06	698261.75	752736.6	738508.8	713388.75	734402.25	714678.94	937029.1	724758.9	903365.6	753655.75	686189.1	747714.94	740180.75
"sp|O95433|AHSA1_HUMAN"	"HUMAN"	8653334	8025977	8381256	7688165	8244760	7429188.5	8604214	9325827	8620436	9213295	8470258	8978717	7765391.5	8983622
"sp|O95453|PARN_HUMAN"	"HUMAN"	956893	1214131.2	1152635.8	1272409	1265160.5	1347760.2	1083673.6	1092373.8	1228868	1449247.1	1102009.9	1039738.7	1100265	1060948.8
"sp|O95456|PSMG1_HUMAN"	"HUMAN"	1910088.8	2045419	2274660.5	2079628.2	1891466.5	2285889.8	2086404.2	2340134.5	2335668.8	2137696	2362888.8	2267754	2120726.8	2202626.2
"sp|O95466|FMNL1_HUMAN"	"HUMAN"	182685.53	106457.76	182993.4	84318.97	33973.43	327446.9	139384.72	233429.06	265551.25	75544.97	333990.2	84592.33	375036.3	325335.25
"sp|O95478|NSA2_HUMAN"	"HUMAN"	1440737.4	1518455	1343835.8	1530475.6	1488376.6	1360966.2	1419853	1581367.1	1629450.6	1577295.8	1486623.1	1585173.4	1583005.9	1581371.6
"sp|O95486|SC24A_HUMAN"	"HUMAN"	1444647.2	1771040.9	1606597.6	1907157.4	1780117.5	2003469.6	1733800	1861532.9	1860677.2	1603702	1788895.1	1633645.8	1840147.4	1876163.4
"sp|O95487|SC24B_HUMAN"	"HUMAN"	2050558.8	2180963.8	2139668	1935832.8	2092455.9	1994657	1914262.4	2055576.2	2508058.8	2319506.2	2265996.2	2178688.5	2332553	2043263.8
"sp|O95544|NADK_HUMAN"	"HUMAN"	74116.38	66856.97	62415.63	66979.92	69272.86	118422.734	68822.41	0	49131.96	127795.72	125039.29	0	123507.89	0
"sp|O95551|TYDP2_HUMAN"	"HUMAN"	3118878.2	7250471.5	4992534	5464475.5	5391533.5	5076415	5383070	4720765	4769818.5	2959476.5	3483546.5	3069055.5	3676009.5	3193145.8
"sp|O95563|MPC2_HUMAN"	"HUMAN"	1977763.9	1760768.5	1966757.5	1870140.8	1956756	1982754.6	2060158.9	2215674.5	1873600.6	2361845.8	2141383	1963578.5	2121817.2	2204076
"sp|O95568|MET18_HUMAN"	"HUMAN"	110948.42	99730.64	62186.215	104143.58	61241.617	84458.94	68518.28	94439.625	112498.31	71209.9	68992.5	114674.32	102692.516	100466.8
"sp|O95571|ETHE1_HUMAN"	"HUMAN"	70480.1	90695.16	84741.695	81119.09	84084.16	0	128690.88	127735.06	101730.21	82992.39	82268.7	83083.02	90642.07	86368.76
"sp|O95573|ACSL3_HUMAN"	"HUMAN"	309139.1	422555.4	258591.11	219841.97	233226.48	467158.16	342711.9	390993.16	771503.1	427065.2	184370.5	111668.41	296516.9	757956.06
"sp|O95602|RPA1_HUMAN"	"HUMAN"	4202538	3953644.5	4136951.5	4157863.8	3998805.2	3908592.5	4477840.5	4226318.5	4228608	4209384.5	4305851	4203559	4650469	4169050.8
"sp|O95613|PCNT_HUMAN"	"HUMAN"	624789.44	590070	852087.06	783946.56	803220.4	637539.4	688068.4	1293249.9	1060436.4	904511.3	1198460.1	1019128.3	1216593	1190169.5
"sp|O95619|YETS4_HUMAN"	"HUMAN"	361452.34	484251.75	608697.7	429443.28	445600.75	706417.9	626360.8	378187.75	498145.62	626365.75	715620.25	622494.4	148334.56	416636.53
"sp|O95625|ZBT11_HUMAN"	"HUMAN"	0	41385.793	41414.875	396487.4	41303.824	342458.75	38413.81	0	0	39676.047	203701.19	0	0	0
"sp|O95628|CNOT4_HUMAN"	"HUMAN"	234754.69	316342.9	240935.1	333064.12	309685.12	326078.12	226963.06	451224.38	362760.9	381240.6	380920.47	270053.16	400410.88	259770.66
"sp|O95630|STABP_HUMAN"	"HUMAN"	1073721.2	1127553.6	1215626.1	1056382.6	929623.44	1092999.1	978595.4	1204770.8	1167352.9	890694.7	1086876.5	1131807.2	1269361.6	1173232.4
"sp|O95639|CPSF4_HUMAN"	"HUMAN"	1957760.2	2033989.8	2077464.5	2093099.1	2061989.5	2068299.5	2097804	2142659.5	2126767.5	2188071.8	2205290	2176391	2101264.2	2122399.5
"sp|O95644|NFAC1_HUMAN"	"HUMAN"	94999.555	0	76544.3	56306.758	111701.29	66609.98	86658.76	0	49512.86	13570.414	70211.62	75108.16	64585.77	53338.613
"sp|O95671|ASML_HUMAN"	"HUMAN"	1316873.9	1189262	1096419.6	1260331.4	1298963.4	1300888.6	1302589.4	1426570.9	1312518.2	925430.06	1166713.2	1386833.1	1296977.4	1228572.1
"sp|O95684|CEP43_HUMAN"	"HUMAN"	869134.2	997971.9	881935.9	954033.56	906833.9	960963.25	948443.5	1035384.9	1144337.8	1179638.8	1040157.75	881040.7	1066574.4	1115022.8
"sp|O95696|BRD1_HUMAN"	"HUMAN"	235668.56	129797.68	83010.7	249790.78	109493.44	319139.75	108660.22	92809.95	80033.336	98397.64	108875.06	285861.38	73026.43	96283.81
"sp|O95707|RPP29_HUMAN"	"HUMAN"	247057.38	256750.11	243773.03	199771.23	206688.66	302933.7	195332.95	220031.34	127751.2	189049.73	526178.56	282351.7	201011.72	282760.38
"sp|O95714|HERC2_HUMAN"	"HUMAN"	1885108.1	1897654.8	2132707.8	1840893.2	1940588.6	2154415.5	2161217.8	2312538.8	1929875.9	1540045.5	1530246.6	2024432.4	2246107.5	1776205.8
"sp|O95721|SNP29_HUMAN"	"HUMAN"	2795975	3262731.2	2697987.5	3085716.2	3255367.8	2494080	3207954.5	3193729.2	2991640.2	3007919.5	2730004.5	3275686	2687451.5	2921575
"sp|O95747|OXSR1_HUMAN"	"HUMAN"	2706329.2	2918181	2561970.2	3169103.8	2935958	2999477	2740460.5	3570180.8	3014386.8	3374682.2	2846945.8	3017678.2	2845935.8	3063819.5
"sp|O95749|GGPPS_HUMAN"	"HUMAN"	420830.4	415275.53	381391.62	370681.3	426933.97	388966.25	400862.12	1002806.06	384544.03	467015.88	457221.22	437803.25	386500	568352.7
"sp|O95757|HS74L_HUMAN"	"HUMAN"	4406726	4191357.5	4571741	4605623.5	3754299.2	4487098	4409494	5079557.5	4868578.5	4943136.5	4802199.5	4929207.5	4685549.5	4977455
"sp|O95758|PTBP3_HUMAN"	"HUMAN"	3637470.2	3943151	4029699.5	4229722.5	4168937.5	3665738.8	4057781.5	4371025.5	3672380.8	4060235.5	4630213.5	4337796.5	4034168.5	3454015.2
"sp|O95772|STR3N_HUMAN"	"HUMAN"	18093.754	22457.822	0	23198.621	27474.809	18661.576	0	0	15494.853	0	23016.326	0	0	20882.986
"sp|O95777|LSM8_HUMAN"	"HUMAN"	4442848.5	4504832	4470198.5	5051966.5	4648828	4751558	4614835.5	4847300	5198624.5	4715290	4610831	4365099	5162691.5	4724796
"sp|O95782|AP2A1_HUMAN"	"HUMAN"	8854726	8220475	8933396	8973389	8148850.5	8376614	8279473	10601212	9832676	9309744	8474325	8851709	9121667	8514687
"sp|O95785|WIZ_HUMAN"	"HUMAN"	1268702.8	752884.06	597012.1	573948.56	449172.75	595998.8	934412.7	759751.9	764622.4	657055.94	1355700.8	700688.9	758699.44	740489.44
"sp|O95793|STAU1_HUMAN"	"HUMAN"	4427489.5	4895833	4906852	4357513	4831458.5	4673839	4671313	4930002	4618188.5	4792238	4611061.5	4694600	4493417.5	4617886
"sp|O95801|TTC4_HUMAN"	"HUMAN"	2139325.5	2651749.2	1819187.4	2205251.2	1657361.4	1834675.1	1877061.4	2443488.5	2583373	2242989.8	2208161.5	2102295.5	2045155.4	2077055
"sp|O95810|CAVN2_HUMAN"	"HUMAN"	2792138	2908158.2	2970850.2	2722400.5	2856877.2	2617331.2	2853655.5	3197600.2	3084561	3480088	3086272.5	2943207	3180524	3034871.2
"sp|O95816|BAG2_HUMAN"	"HUMAN"	4522782.5	4758205.5	4383168	4927323	4821218.5	4664845.5	4982367.5	5087901	5084149.5	4535147.5	4927639	4619951.5	4941685.5	4923868
"sp|O95817|BAG3_HUMAN"	"HUMAN"	2441714.5	2406331.8	2827885	1788752	3030129.5	2734030	3310521	2445210.5	2005070.8	2892591.2	2440649	2382439.2	2530587.2	2430780.2
"sp|O95819|M4K4_HUMAN"	"HUMAN"	922898.44	2754949	2699027.8	2856385	2612127.8	3062830.5	2782841.5	938673.2	792865.2	902797.4	847086.75	778668.8	951557.75	783275.9
"sp|O95825|QORL1_HUMAN"	"HUMAN"	480149.94	450499.72	379366.62	371613.5	361443.38	329136	348321.28	494435.28	517993.03	475188.53	279341.8	373121.62	382365.1	300637.16
"sp|O95831|AIFM1_HUMAN"	"HUMAN"	7553457.5	7100523	7482822	6450157	6887696.5	7224127	6793579	7313224	7113083	6563014.5	5880470.5	5937762.5	6361274	5683976
"sp|O95834|EMAL2_HUMAN"	"HUMAN"	831213	731592.4	689103.2	850471.6	767411.4	798934.75	831760.56	770641.7	772738.9	852764.5	800840.5	774020.94	841515.25	842388.9
"sp|O95835|LATS1_HUMAN"	"HUMAN"	487654.88	354796.6	388246.97	352941.3	374013.7	391026.56	346490.78	367919.7	353938.3	313532.44	346151.72	312109.53	470204.94	263720.7
"sp|O95857|TSN13_HUMAN"	"HUMAN"	90606.43	113070.766	93890.83	0	0	33685.953	0	33328.484	35828.836	0	128685.28	102572.266	81790.24	36887.33
"sp|O95861|BPNT1_HUMAN"	"HUMAN"	2954343.8	3004337.5	3175101	2863010.2	3078749	3064985	3040748	3258816.8	3316239.8	3270286	2933791.5	2979153	3187691.5	2957766
"sp|O95865|DDAH2_HUMAN"	"HUMAN"	436350.3	666832	625832.25	493098.12	392173.9	519457.62	531179.06	498012.1	710035.7	465085.6	476197.62	356922.03	400337.44	619004.44
"sp|O95870|ABHGA_HUMAN"	"HUMAN"	100849.79	47145.902	0	0	127806.11	50671.383	0	0	64489.633	70969.27	0	148402.02	163998.5	57351.645
"sp|O95872|GPAN1_HUMAN"	"HUMAN"	25691.734	0	0	0	0	0	0	0	0	0	0	0	33312.402	0
"sp|O95873|CF047_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	84150.5	0	0	0	108420.53
"sp|O95881|TXD12_HUMAN"	"HUMAN"	1658814.1	1592977.9	1625209	1754220.9	1707177.2	1723540.1	1648908.2	1773429.4	1744433	1781039	1755682.6	1694924	1704317.9	1737888.5
"sp|O95905|ECD_HUMAN"	"HUMAN"	998555	1152090.5	1166429.8	1107887.9	1003953.1	980191.6	1136878.5	975209.2	1035677.75	970322.4	1240136.2	1358395.2	1002556.06	1237390.5
"sp|O95926|SYF2_HUMAN"	"HUMAN"	644941.06	709437.3	779084.56	696692.9	676737	686815.9	677017.44	846705.44	653762.8	712613.25	702539.56	802477	857105.5	721145.25
"sp|O95983|MBD3_HUMAN"	"HUMAN"	1831986.5	2158697.2	1903262.1	2165013.2	2285307.2	2115726.8	2023512.2	2264258.8	2313949	2173792.8	2448576.2	2109059.8	2281137	2340599
"sp|O95985|TOP3B_HUMAN"	"HUMAN"	2044685.5	1992386.8	2011897.4	2055772	2113454	2045070.8	2061659.4	2095249.8	2099296.8	1978921	2068396.8	2093139.8	1992581.1	2162226.5
"sp|O95989|NUDT3_HUMAN"	"HUMAN"	813129.3	1001225.4	1053769.5	848118	904359.3	928054.8	997492.5	1095397.5	1014781.9	1183964.9	985784.5	979295.25	876882.4	999691.44
"sp|O95997|PTTG1_HUMAN"	"HUMAN"	193506.78	137122.16	140629.9	136398.42	117718.43	139626.84	108531.234	126897.664	158584.62	100841.914	122165.89	128152.71	166937.34	138240.77
"sp|O95999|BCL10_HUMAN"	"HUMAN"	185352.6	277471.7	194344.84	191947.08	225609.95	197484.67	187455.38	386887.47	239006.6	630495.75	524131	435580.2	196575.4	486931.75
"sp|O96000|NDUBA_HUMAN"	"HUMAN"	3205087.8	3223835	3259084	3252177.5	3138581.2	2995307.5	3510119.2	3782081.8	3291246.2	4448573	3077960.5	3541905	3121209.8	3480142
"sp|O96005|CLPT1_HUMAN"	"HUMAN"	136675.97	137052.48	137685.7	138366.78	139912.86	114026.5	147049.08	141554.64	132605.9	122379.14	111956.54	139853.3	136832.67	137782.08
"sp|O96007|MOC2B_HUMAN"	"HUMAN"	906690	897515.8	912822.2	952380.56	996353.6	895152	949999.06	753337.4	820441.2	1050756.6	924167.94	1010490.9	907247.2	997051.7
"sp|O96008|TOM40_HUMAN"	"HUMAN"	3013270.5	3155293.8	3216329.5	2860817.8	3173180.2	2831626.2	3456165.8	3532333.2	3515327	3374388.2	3497833	3205447.5	3335592.8	3367717.8
"sp|O96013|PAK4_HUMAN"	"HUMAN"	382209.94	523998.78	473893.9	457557.88	508255.88	491989.38	339415.8	619078.94	752413.44	748679.6	745669.4	681887.6	584748.8	665886.8
"sp|O96017|CHK2_HUMAN"	"HUMAN"	268032.7	102067.77	82021.06	140635.77	116400.37	232458.05	241636.9	113926.11	144577.61	157116.8	125593.7	275854.34	166185.19	251053.97
"sp|O96019|ACL6A_HUMAN"	"HUMAN"	9315195	9148383	9300065	9772307	9554585	9290489	9314950	10077803	9845290	9727745	9930563	10003608	9448437	9073969
"sp|O96028|NSD2_HUMAN"	"HUMAN"	960433.4	1064658	743023.9	905979.7	1075587.5	856044.25	1016382.44	1180399.8	1191412.8	1187458.1	917760.6	809200.25	732093.44	1032663.6
"sp|O96033|MOC2A_HUMAN"	"HUMAN"	99238.6	116208.26	119533.75	129640.76	135568.31	139435.8	128688.17	95042.695	115476.43	117125.125	102949.19	116844.69	118958.04	120895.16
"sp|P00167|CYB5_HUMAN"	"HUMAN"	345235	182106.66	371556.94	235077.75	268269.47	253680.7	320473.62	593192.9	449869.88	316026.47	354844	388450.97	355987.16	617749.8
"sp|P00338|LDHA_HUMAN"	"HUMAN"	62758732	87231730	79032390	66129012	79801940	81246936	67715630	89264376	95506890	99906900	81615800	73103940	88771040	79258430
"sp|P00352|AL1A1_HUMAN"	"HUMAN"	594806.3	772890.3	1138388.2	816861.25	965560.56	1034592.5	1027895.6	911213.3	907234.9	1059382.9	952282.25	1052911.9	787606.5	1118574.2
"sp|P00367|DHE3_HUMAN"	"HUMAN"	4250322.5	4536271	4638742.5	4714229.5	4567605	4577815	4426335.5	5346410.5	6050521	5629314.5	5021951.5	5379926	5248191	5597829
"sp|P00374|DYR_HUMAN"	"HUMAN"	944690	445734.94	1663786.1	975106.7	925110.56	985918	1345132	1216513	995639.9	1280749.9	1001873	1552185.5	1465919	1162992.8
"sp|P00387|NB5R3_HUMAN"	"HUMAN"	2068370.9	2262586.8	2290830.5	2002030.9	2002346.5	2434265.8	2027672.2	2112881	1925638.8	1998516.8	1962236.1	2191370.8	1972475.2	2021877
"sp|P00390|GSHR_HUMAN"	"HUMAN"	7884937	8580618	8718828	8354073	8444466	8348813	8341618	9394262	9880747	9301416	8962300	8524227	8970848	9032332
"sp|P00395|COX1_HUMAN"	"HUMAN"	1743233.5	1626879.1	1695623.8	1749733.1	2126691	1957509.6	2064026.2	1820877	2020783.4	1905061.8	2063478.1	2085222.6	1725169.5	1889118.2
"sp|P00403|COX2_HUMAN"	"HUMAN"	2463738.5	2456665.8	2463873.2	2479866.8	2487647.8	2613476.5	2483026.5	2397741.5	2285855.8	2775833.2	2285215.2	2424900.8	2344332	2572547.8
"sp|P00414|COX3_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	6855.3335	0	0
"sp|P00441|SODC_HUMAN"	"HUMAN"	19426350	18649112	18751342	20257746	18493388	19788490	19152224	22505250	20395980	20977422	19680462	20516072	20072804	19715076
"sp|P00450|CERU_HUMAN"	"HUMAN"	278821.12	42125.45	63509.625	261559.42	40310.453	287244.84	74330.63	395409.56	45557.445	111126.12	28308.314	69786.945	333729.7	69650.91
"sp|P00491|PNPH_HUMAN"	"HUMAN"	11969239	11708167	12636641	12199019	11373145	12023162	11472014	15027984	13810025	14354577	12917315	12845196	12631785	13088359
"sp|P00492|HPRT_HUMAN"	"HUMAN"	10742444	11175338	11516718	11693224	11044325	11205011	10964538	12656235	13484520	12913044	12667474	10887995	10917209	13111788
"sp|P00505|AATM_HUMAN"	"HUMAN"	1238259.2	1874934.9	1611127.1	1281452.4	1376743.6	1142804.5	1413324.5	1744080	1655768.4	1327075.4	1300267.5	1210377.9	1613242.9	1086664.6
"sp|P00519|ABL1_HUMAN"	"HUMAN"	1960449.6	1861345	1855579.2	1901132.2	1944286.1	1925486.2	1682221.8	1719476.2	1975665.2	2026169.8	1902704.4	1813166.2	2033459.4	2059459.4
"sp|P00558|PGK1_HUMAN"	"HUMAN"	70353570	68967910	69697600	71988540	67009170	72488160	68296184	78726490	77871490	73729944	71248010	68843496	75834220	71349416
"sp|P00568|KAD1_HUMAN"	"HUMAN"	1662920.4	1688480.8	1643680.8	1623495.8	1646115.2	1621865.8	1677402.9	1804813.8	1712838.8	1762937.1	1658555.5	1646555	1646076.9	1773062
"sp|P00734|THRB_HUMAN"	"HUMAN"	4675024.5	4673604.5	4031349.8	4426149	4324479.5	4825238.5	3932584.8	3705143	4390329	3954638.2	4283387	4399817	4342376	4006977
"sp|P00738|HPT_HUMAN"	"HUMAN"	181850.48	106390.26	160616.38	142578.22	191925.1	203485.81	145373.3	193450.02	177428.7	173865.22	211507.97	165920.12	196853.6	159878.5
"sp|P00747|PLMN_HUMAN"	"HUMAN"	144150.08	0	83881.2	0	72763.336	82136.21	73141.7	217362.16	215695.5	145390.16	66634.82	111739.84	243594.58	73036.82
"sp|P00751|CFAB_HUMAN"	"HUMAN"	73600	78667.29	66386.305	61977.23	53940.09	66977.26	80049.02	162072.97	152976.3	344385.8	97645.586	280080.97	113591.5	230436.05
"sp|P00846|ATP6_HUMAN"	"HUMAN"	95645.59	81139.77	95752.625	112175.984	76327.01	73665.87	93940.836	118243.05	108409.055	99895.984	107197.1	109120.35	100458.84	96428.02
"sp|P00915|CAH1_HUMAN"	"HUMAN"	387189.62	431072.1	361494.56	565315.25	391693.4	430903.5	473441.2	414219.94	449691.38	507873.7	466730.25	412552.8	339367.12	542838.25
"sp|P01008|ANT3_HUMAN"	"HUMAN"	736796.3	864772.25	913900.1	851567.75	951824.25	862220.7	978066.9	1008994.7	1017603.9	917491.44	890737.3	979903.8	1079190.5	1029490
"sp|P01023|A2MG_HUMAN"	"HUMAN"	150186.3	219862.23	189706.52	204402.73	220388.06	371267.94	201121.14	324165.72	158095.05	197889.11	158905.45	158013.78	128609.08	347370.62
"sp|P01024|CO3_HUMAN"	"HUMAN"	865247.5	710270.4	961570.6	634659.25	740911.4	635037.1	684986.8	899735.3	868707.5	1062749.9	826962.06	885501.2	764553.2	801854.6
"sp|P01031|CO5_HUMAN"	"HUMAN"	38364.938	0	38771.812	104959.94	36581.312	40878.06	0	0	0	46184.277	0	0	0	0
"sp|P01033|TIMP1_HUMAN"	"HUMAN"	52100.652	55006.574	160279.4	65044.617	59756.23	0	48524.582	61906.133	63238.223	58528.742	71254.45	60311.73	62544.793	58169.137
"sp|P01034|CYTC_HUMAN"	"HUMAN"	152375	382488.9	387761	411867.97	403157.34	296612.66	360990.2	0	177104.39	0	0	186078.69	219106.34	0
"sp|P01042|KNG1_HUMAN"	"HUMAN"	197554.7	391192.2	259362.86	328506.16	329833.25	276622.84	254225.92	0	282256.44	396443.4	271216.5	318710.66	362622.75	333942.1
"sp|P01111|RASN_HUMAN"	"HUMAN"	253372.19	183709.69	93920.516	139875.31	78903.125	175684.56	73264.87	304637.38	261445.44	254110.69	239159.58	80965.1	239066.47	234617.22
"sp|P01116|RASK_HUMAN"	"HUMAN"	451516.53	369483.72	314583.53	351464.44	362242.28	317382.56	250404.17	397155	259104.72	270835.34	212158.6	279804.2	139667.31	288194.56
"sp|P01130|LDLR_HUMAN"	"HUMAN"	794065.44	2270600.2	1674539	44844.996	84895.51	50792.234	2213449.5	1695864.4	0	97719.875	48472.434	0	59651.516	61703.18
"sp|P01137|TGFB1_HUMAN"	"HUMAN"	432683.94	359262.25	257875.95	298541.62	385352.78	320716.88	306933.12	454705.3	371771.38	314045.1	340537.84	351226.38	308581.3	291927
"sp|P01591|IGJ_HUMAN"	"HUMAN"	81179.03	92114.34	95834.48	95989.7	88093.17	105972.11	96162.85	94478.93	107183.38	108869.805	106529.41	107579.12	113506.91	99341.74
"sp|P02008|HBAZ_HUMAN"	"HUMAN"	57092816	60406696	55973296	61010270	58409252	60064596	59277564	66507070	65480268	62304116	58787132	57525410	62280210	59194308
"sp|P02042|HBD_HUMAN"	"HUMAN"	1992949.9	2237721	1803156.2	2295966.8	2578384.5	2258604	2114555	3195423.8	2538883	2214005.5	2609732	1964227.2	2304111.8	1906070.2
"sp|P02100|HBE_HUMAN"	"HUMAN"	24144528	25466552	25552730	25054926	24649190	26678778	25158120	31730762	30282164	30778324	26554162	26904838	26576862	29366654
"sp|P02489|CRYAA_HUMAN"	"HUMAN"	0	0	0	0	100066.29	0	0	0	0	136660.44	0	0	0	0
"sp|P02511|CRYAB_HUMAN"	"HUMAN"	158472.42	162786.34	187940.22	151258.34	187382.36	182188.06	187350.34	164036.86	0	0	19575.912	0	173585.2	25609.477
"sp|P02545|LMNA_HUMAN"	"HUMAN"	24906516	25586008	25107294	23097724	24216272	25276986	24137350	29458538	31034062	27720984	25978286	25594570	28274310	26568270
"sp|P02549|SPTA1_HUMAN"	"HUMAN"	15193587	16423451	16596155	25775548	16316217	16216274	15307503	17138462	17561398	15508954	14947273	15326769	17302708	14997158
"sp|P02647|APOA1_HUMAN"	"HUMAN"	1527937.9	1380259.2	1723697.9	1185322	1309737.6	946291.6	1173757.1	1515248.6	1181981.9	1553770.5	1015229.2	1270519	905354.94	1098471.6
"sp|P02649|APOE_HUMAN"	"HUMAN"	227536.61	202398.75	205463.5	151745.98	177851.39	163359.45	226508.36	220278.05	204351.83	163124.88	155035.17	64957.2	157647.19	114820.3
"sp|P02656|APOC3_HUMAN"	"HUMAN"	95839.42	466244.88	454234.12	586188.75	420634.12	438225.28	334631.28	674497.7	586635.9	513120.3	339516.62	256380.36	481629.2	403966.94
"sp|P02724|GLPA_HUMAN"	"HUMAN"	787759.44	885882.9	860435.2	871746.8	907862.8	938262.4	935691	872841.7	899743.9	891125.1	913128.25	879440.56	882333.06	864568.2
"sp|P02751|FINC_HUMAN"	"HUMAN"	0	82880.19	0	0	0	0	44456.41	132108.44	115837.7	48681.848	48331.707	0	76666.63	0
"sp|P02765|FETUA_HUMAN"	"HUMAN"	2330457.2	1986926.5	2372739.5	2216490.8	2047067	1371126.6	2698287.2	2444887.5	2085498.4	3202682.5	1522002.8	2396715.2	1684428.2	2569112.8
"sp|P02786|TFR1_HUMAN"	"HUMAN"	40871630	36714180	37810400	37201172	37420650	39337280	35974260	40471596	39379028	40768716	38997156	39765972	40423196	39766984
"sp|P02788|TRFL_HUMAN"	"HUMAN"	0	283893.44	0	0	0	0	0	303658.47	63463.773	321278.6	0	0	302460.62	0
"sp|P02792|FRIL_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	59340.758	52728.887	50487.195	42031.633	38482.68	49056.64	57882.176
"sp|P02794|FRIH_HUMAN"	"HUMAN"	260591.44	280980.5	202005.94	303405.47	283419.1	43888.18	163930.05	219338.8	283860.2	289517.38	252572.27	341210.62	299845.62	282083.88
"sp|P02795|MT2_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	19992.639	22396.504	25719.648	0	0	20460.725	19021.283
"sp|P03886|NU1M_HUMAN"	"HUMAN"	363253.53	371297.8	541129.1	587205.5	412774.72	356787.47	392686.1	385843.94	432363.75	501086.16	456338.66	468030.25	559957.2	440059.2
"sp|P03891|NU2M_HUMAN"	"HUMAN"	0	0	71706.945	0	0	0	0	71449.55	52031.99	57441.297	26539.537	57144.816	57974.633	52598.742
