"Protein"	"Organism"	"AA_1.Intensity"	"AA_2.Intensity"	"AA_3.Intensity"	"AA_4.Intensity"	"AB_1.Intensity"	"AB_2.Intensity"	"AB_3.Intensity"	"AB_4.Intensity"	"AG_1.Intensity"	"AG_2.Intensity"	"AG_3.Intensity"	"AG_4.Intensity"	"BA_1.Intensity"	"BA_2.Intensity"	"BA_3.Intensity"	"BA_4.Intensity"	"BB_1.Intensity"	"BB_2.Intensity"	"BB_3.Intensity"	"BB_4.Intensity"	"BG_1.Intensity"	"BG_2.Intensity"	"BG_3.Intensity"	"BG_4.Intensity"
"sp|O75352|MPU1_HUMAN"	"HUMAN"	0	8151506	0	3276884	12982709	12741540	9925690	8403033	0	0	0	7880793.5	20176564	0	12966476	8859364	13435226	11418012	9879242	9623428	6922315	10719917	12474669	8897140
"sp|O75362|ZN217_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2118119	0	0
"sp|O75367|H2AY_HUMAN"	"HUMAN"	1190100900	2135975600	2417764900	2395488000	2220490000	2373994200	2000235800	2055906300	1785181400	2393647400	2455931100	1564139300	2282835500	1800279300	1957196000	1955199900	1858497900	2010279700	1481318800	1972837500	1826605800	1999526300	1658518000	1490688500
"sp|O75368|SH3L1_HUMAN"	"HUMAN"	696379900	546904600	910430340	931294340	758596000	895910000	922165600	904144260	668330400	889960800	920401000	919000500	1242541200	618351000	933972900	817723400	929754800	927998400	901692400	897062850	802842940	898197250	920259900	930007400
"sp|O75369|FLNB_HUMAN"	"HUMAN"	3644110000	4540613000	3948864500	4042067700	3699136500	4419000300	4229401000	3332076500	4125730600	4493571000	3784289800	2938093800	4662196700	3786266400	4304449000	4072523300	4231527700	3663328000	3531998200	3360696300	4228535600	4319929300	3456132900	3506656000
"sp|O75376|NCOR1_HUMAN"	"HUMAN"	8594336	18784774	13648931	0	8579567	10275584	3466664.5	7737797	34409950	2739691.5	0	0	6515902	14774319	34726356	11629817	15232503	17725406	0	22891664	10393562	16897164	12479406	4113134
"sp|O75379|VAMP4_HUMAN"	"HUMAN"	0	0	2609606.2	0	2458824.5	4971101.5	8345131.5	2402614.8	2431133.5	0	4970363.5	2836311.2	0	0	0	0	0	0	0	3659801	0	0	0	0
"sp|O75380|NDUS6_HUMAN"	"HUMAN"	186616590	310039140	118795440	120434840	340346600	275686750	243188350	237389820	197719730	124938040	86268090	348971700	299008960	255560220	156584260	81679380	63485850	314957400	65890270	171781890	388965760	288305630	126607830	206410530
"sp|O75381|PEX14_HUMAN"	"HUMAN"	289935500	256738080	309333730	179363760	215615300	262679550	287768000	212093630	287570800	199261870	239664910	200296510	338191870	292968200	366959840	272526050	280076500	276164670	225859230	271792580	273712220	271046750	238360380	215702460
"sp|O75387|LAT3_HUMAN"	"HUMAN"	0	0	0	0	0	0	628810700	0	0	0	0	0	0	0	0	0	0	0	0	0	331910500	0	1530181	0
"sp|O75390|CISY_HUMAN"	"HUMAN"	7209677300	5261303000	5823431000	5020023300	6202767000	5895893500	5819753500	5893273000	6142085000	5814832600	5838001700	5754461000	4853760500	6579249700	5391926300	6232879000	5919640000	5685197300	6364984300	6702488600	5183728000	6982839300	6635287000	5879746000
"sp|O75391|SPAG7_HUMAN"	"HUMAN"	13529257	34384750	0	61745500	34260090	69058376	26358106	0	29982824	40257656	0	50381964	1145015300	57856240	68066000	10237676	72369640	36006660	18113394	0	39718936	85689900	0	61933624
"sp|O75394|RM33_HUMAN"	"HUMAN"	39328330	47700540	54954170	53492316	53277628	40090790	0	27771014	81651944	45867940	0	32892882	73207170	39892376	0	55409980	0	53252210	0	0	48930590	47605476	0	0
"sp|O75396|SC22B_HUMAN"	"HUMAN"	70638460	167860370	216174260	203841660	164944200	240945570	179698830	144803490	146737980	179310750	186887380	116142080	296594400	221754990	231382370	207338270	189117570	344517380	184993090	236358220	192802340	227188210	142454350	67031132
"sp|O75400|PR40A_HUMAN"	"HUMAN"	2531451400	2352885000	2570928600	2549951500	2519600000	2529047300	3196571000	2799121700	2402900500	2313012200	2984287200	1938488400	3271898400	2323705300	2907127300	2406506200	1772837400	2387892500	2425369900	2709175300	2373932500	3037768200	2591622400	2065715500
"sp|O75410|TACC1_HUMAN"	"HUMAN"	9398110	27118698	29209588	0	77785224	12770345	0	0	23779886	18083228	0	0	29050304	2420476.5	10222468	8328992	28364906	34902320	47858630	69788580	47964308	16786934	32160652	52316624
"sp|O75414|NDK6_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1553029.5	0	0	45708076	0	0	0	0	0	0
"sp|O75419|CDC45_HUMAN"	"HUMAN"	144900940	106964300	186170400	129845950	173294900	87772350	123345960	145029580	94818690	205677570	178327300	105902060	232791460	122318180	198132220	83015976	157225600	149897660	10021273	187556720	249548980	66594730	214490480	174277040
"sp|O75420|GGYF1_HUMAN"	"HUMAN"	0	0	0	0	0	0	3275673.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|O75427|LRCH4_HUMAN"	"HUMAN"	12806901	0	0	0	0	0	0	0	0	0	0	0	0	20541458	0	0	0	0	0	0	4763547.5	0	0	0
"sp|O75431|MTX2_HUMAN"	"HUMAN"	122282290	60774070	263000300	248307890	173434080	333836480	320598800	325220300	149709020	349462500	289286820	327662700	171925900	224320860	276974100	263529730	287198500	322092450	328695700	321290270	185973980	341406500	360466270	330337120
"sp|O75436|VP26A_HUMAN"	"HUMAN"	658641600	449907460	784702400	586567600	797658600	668680960	846805700	527011070	697593150	917949630	950115000	262597570	880332000	687727700	858367360	819121540	857060800	640443500	861504000	557715000	735272060	693125100	873064960	297727420
"sp|O75438|NDUB1_HUMAN"	"HUMAN"	264115410	91290300	5994669	0	14012327	0	0	0	0	6121250.5	0	0	0	217173310	191900670	1195666.9	10195053	222404800	0	0	153521950	232587460	0	0
"sp|O75439|MPPB_HUMAN"	"HUMAN"	582987400	690138000	990660740	973163900	781511300	1005797000	1049105900	803025900	841016400	1186080000	986183800	942210600	945349760	751684160	994458900	1226071600	888048640	758801150	798761540	902421200	463953660	878578100	1030686200	737175550
"sp|O75446|SAP30_HUMAN"	"HUMAN"	60732390	74701200	62405972	65495932	63369364	49780576	52363730	59082584	85326780	53053348	59277556	0	85598140	12082144	56788340	51435708	75787760	58927360	61738600	66685356	74544400	56196116	46113230	4841367.5
"sp|O75448|MED24_HUMAN"	"HUMAN"	0	7651778.5	61190732	12300779	16091562	62494500	10611983	151809420	60073020	16898838	129414776	154086420	4101731.2	54646268	97626750	100915200	67036244	24208028	8344557.5	194779120	21733462	129425190	154567360	161120480
"sp|O75449|KTNA1_HUMAN"	"HUMAN"	19715680	0	11154015	0	1865606.5	0	0	146498510	0	0	0	0	0	0	0	11209035	0	18122540	0	0	4465571.5	147244430	9521254	0
"sp|O75459|PAGE1_HUMAN"	"HUMAN"	651238600	548620900	576336640	444644930	533898980	581096000	587563800	476990500	602522300	575041540	522588860	493482600	629894800	563583600	562360800	571364540	530212600	589259970	467085950	483741660	560903740	578740400	524369920	474672580
"sp|O75475|PSIP1_HUMAN"	"HUMAN"	952181760	556773760	942184900	452116740	895374800	790100540	488074460	873470700	734119600	1134525800	838980300	849580600	901397570	772031100	918051400	860051300	512977300	761046850	935209700	958239400	1633936300	930859200	1092912000	544125250
"sp|O75489|NDUS3_HUMAN"	"HUMAN"	518203680	587448700	767729500	699089500	1025419700	1213674800	680966900	573876740	941817660	1299074000	757496400	665038900	742407300	571453800	686875600	609336060	629099800	671517950	708689900	642402600	567993800	804834940	712825150	459867200
"sp|O75494|SRS10_HUMAN"	"HUMAN"	1138134300	1071656060	5038074000	3479301400	1097130200	4770947000	4370357000	3509102000	4.485e+09	1463050600	3726255900	3663107000	1409344800	1037089600	4917712400	3697561600	1387309800	4239081000	3820545000	3318597000	1162897300	5033090000	3630719500	3902680300
"sp|O75496|GEMI_HUMAN"	"HUMAN"	126035480	113198424	123479320	235027470	64791870	0	234693890	99290340	120360100	83977060	115822080	17834226	106410950	97347830	90519660	224084830	97944940	43984910	37175972	134177520	42366270	144851490	134446560	89605230
"sp|O75506|HSBP1_HUMAN"	"HUMAN"	219556930	211877950	223539630	85580584	181396940	169932030	151863700	111077770	150624910	119383740	80712840	45149116	301135420	218555710	167868140	100164104	171212850	94720470	56931644	81847700	224426930	103547260	72568664	108936450
"sp|O75521|ECI2_HUMAN"	"HUMAN"	904779400	502035330	982060000	894770560	627097200	578136700	704663740	475410370	493075330	635770050	754913340	410577760	1317200800	824135940	831925000	638165300	731344100	601279900	476540450	564516740	761423200	691580740	600228200	597509400
"sp|O75528|TADA3_HUMAN"	"HUMAN"	0	0	0	0	24914268	0	0	0	0	0	0	0	0	0	0	0	18546890	8444355	8656534	14440749	17367228	10858138	0	3180902.2
"sp|O75529|TAF5L_HUMAN"	"HUMAN"	0	0	12147938	0	70194320	3155478.2	0	0	0	0	0	0	0	2973210.2	0	0	0	0	0	0	0	0	0	0
"sp|O75530|EED_HUMAN"	"HUMAN"	88937920	181871140	263683170	144202430	200542460	162780620	297173020	144141000	212334270	238882080	256872960	77723200	344116200	215980060	227192660	138871360	226243310	266678750	164661470	160137920	193469340	223591520	195068880	157621890
"sp|O75531|BAF_HUMAN"	"HUMAN"	1611182800	1931836300	2817280000	2478267000	1700476800	1923947600	2962687000	2334577700	2129626400	2735991800	2396505900	2535464000	2408852700	2549418800	2721727500	1955545300	1790286500	2580253400	1837796700	1401063800	2072188000	2730083600	1891292000	1813595500
"sp|O75533|SF3B1_HUMAN"	"HUMAN"	6509554000	6461979000	6207525400	6714852000	6415404000	6844688000	7028605400	5650565000	6448216600	7050767000	7121424000	6631549000	7542749000	6251108000	5930772000	6237316600	5692694000	6022906400	5430363600	5072744400	6035271700	6925730300	5925340700	5301415000
"sp|O75534|CSDE1_HUMAN"	"HUMAN"	6063705600	5607135000	5922584600	6027715600	6725674500	6006626300	6252772400	5999683600	6223079000	6032134700	6142729000	5173612000	6765687300	6380717600	6879232000	6482406400	6400806000	6033554400	5658652000	5752593400	5563031000	6346138600	6.464e+09	4928425000
"sp|O75554|WBP4_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|O75569|PRKRA_HUMAN"	"HUMAN"	372006300	411288130	680898000	326472220	496993500	447942200	428919300	325730140	408304700	481288700	386489600	344812100	596184800	778172000	512440220	145576300	478528900	462631260	292654000	342866600	323519700	428885950	426073150	279999970
"sp|O75575|RPC9_HUMAN"	"HUMAN"	0	8806237	0	0	11372993	0	0	0	13068341	0	0	0	0	0	0	0	0	18161656	0	0	17316030	33316612	0	47085490
"sp|O75586|MED6_HUMAN"	"HUMAN"	3827642.2	7027031	7173623.5	0	0	10967394	0	3915546	8528764	7761236.5	0	0	13363783	0	11669795	0	0	924832.3	0	6945466.5	0	2675806.5	0	6596671
"sp|O75592|MYCB2_HUMAN"	"HUMAN"	240138110	296965860	293386620	0	272880700	277684700	393135200	0	273722980	273692260	0	0	208290690	262634340	281699200	275527700	263127520	258698560	281845150	278842270	271995230	275525800	0	0
"sp|O75600|KBL_HUMAN"	"HUMAN"	13584588	55922576	51696784	74326200	55529730	0	229325730	68875130	49393332	234763470	42026860	118460130	14593201	10108145	55810790	47324004	9821444	10750338	71383784	31236756	62959510	38118532	6995594.5	99455210
"sp|O75607|NPM3_HUMAN"	"HUMAN"	725729660	686349630	603944500	816628160	721662460	580269300	703802800	744636200	724454140	610067260	873363400	854592400	526310900	337298620	580107140	734425100	573795200	689676700	796248770	1001926500	465795000	415364060	629665200	797515700
"sp|O75608|LYPA1_HUMAN"	"HUMAN"	789319700	907924860	950830500	1360413400	888879400	959028030	865726900	1335529900	934934660	981946500	967639700	854501760	702443800	1209578000	865526660	860680800	1179937300	897538600	879017700	1061329400	779510900	782545400	1220903700	1067609200
"sp|O75616|ERAL1_HUMAN"	"HUMAN"	131192920	164373150	122347230	194334020	150221300	197998430	111867120	227176290	152343570	131023090	118843860	176244850	162053250	125636690	143085940	163703180	148590930	101790110	117554080	172646050	172633660	136764860	136169820	92385320
"sp|O75629|CREG1_HUMAN"	"HUMAN"	121625580	55016804	164490400	132254870	182010020	124054264	0	95128580	200088830	115148344	94935430	83100710	196204620	126790210	139593120	92315890	204464830	126392136	0	70985580	43059976	96077240	87543176	0
"sp|O75643|U520_HUMAN"	"HUMAN"	10258522000	8601867000	11414004000	10216386000	10202870000	11274921000	11495155000	10725705000	9737949000	13451661000	11567865000	10458489000	13664621000	10685799000	12412132000	10671810000	10936855000	10332452000	11633977000	9946209000	9676591000	12036833000	12157490000	9580660000
"sp|O75648|MTU1_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	11083031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|O75663|TIPRL_HUMAN"	"HUMAN"	357098430	807267800	872520900	854187800	510595940	835965600	1069244700	681270500	726573060	956331000	880999700	586801150	657153000	641043500	771094850	987949100	751618750	398161020	568899200	462217100	648990400	603557600	629564600	527277470
"sp|O75674|TM1L1_HUMAN"	"HUMAN"	0	0	0	0	1935387	0	0	20339994	0	0	0	0	0	0	0	30969426	0	0	0	33637480	0	44253976	0	23293514
"sp|O75683|SURF6_HUMAN"	"HUMAN"	585363840	844944600	699814660	945596300	869594430	638562750	559429900	386134720	755440900	802125440	664920300	517212800	648664200	786746500	853660000	861649500	456001470	712038500	737383400	700919360	922800830	871353340	1045283000	525185660
"sp|O75688|PPM1B_HUMAN"	"HUMAN"	58737140	50772604	91315120	58016404	99917410	74055760	103069340	35904236	58399076	78058056	52797630	56494096	116388070	104130920	93208460	59330520	111629300	75607790	57385360	27908668	91662820	109003016	68728200	52347170
"sp|O75691|UTP20_HUMAN"	"HUMAN"	278075740	81387980	97381490	25829484	82609040	64677204	55506176	15046620	82992430	78020960	15818136	10887103	42455170	13032017	48339790	65502350	15654704	70797384	22215880	7875414	9950864	14864280	39018984	59084732
"sp|O75694|NU155_HUMAN"	"HUMAN"	2431676400	2575963400	3031629800	2685262300	2622358000	3150892800	3376713700	2738333400	2717425400	3110541800	3136418300	2864750000	3204352800	2852130600	2985392400	3097611800	2820919300	2377084400	2728457700	2811362000	2395231500	3065626600	3140118000	2945530000
"sp|O75695|XRP2_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|O75717|WDHD1_HUMAN"	"HUMAN"	448266900	395774620	530545150	429887500	395856420	428383800	438970430	457633020	428508800	415226340	422825380	383873250	514117020	409521900	441378140	433464580	460217500	413028200	268454850	402775700	422917300	377794720	337784400	256625680
"sp|O75718|CRTAP_HUMAN"	"HUMAN"	0	0	1792737.1	178217070	16900002	2467492.5	0	0	0	0	181377390	4522697	25147616	9002417	190455260	164073390	14801592	0	0	4634894.5	8726163	13305911	177369800	0
"sp|O75746|S2512_HUMAN"	"HUMAN"	84450470	54536452	201609460	123340440	90249510	191620370	120423900	119941656	77397930	86125350	166810510	178131100	149331000	73155740	169963500	80757090	89773600	71164344	149736060	43061104	43775544	162875470	151911150	118410130
"sp|O75787|RENR_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|O75791|GRAP2_HUMAN"	"HUMAN"	11415761	5500473	11811002	4557112	6515934	9724100	8332695.5	0	29883990	8126304	6524732	5426415.5	31970984	11244723	6634877.5	20687044	8511035	9832147	3915361.8	0	6437491.5	9023046	7181596.5	7269905
"sp|O75792|RNH2A_HUMAN"	"HUMAN"	144015360	125858920	133667944	535651500	457637820	25636304	433803230	528977700	150632480	53656190	143418660	156393260	200536860	180498780	402628130	453228100	416813760	77393320	342224220	400155200	438140450	358034050	335770880	137278930
"sp|O75794|CD123_HUMAN"	"HUMAN"	172678340	107149064	174130420	294198340	313142050	232122000	451701820	368735680	436654800	174453180	245031180	579044160	262449220	108475900	437439100	300334900	157664420	102470120	195953890	180600210	292763650	140139540	257448940	432827140
"sp|O75808|CAN15_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|O75817|POP7_HUMAN"	"HUMAN"	0	0	0	0	5534043.5	16476549	0	16900678	0	18142472	0	22183300	0	0	0	0	0	16990928	0	0	6488834	0	0	0
"sp|O75818|RPP40_HUMAN"	"HUMAN"	0	9660171	10188430	292784830	64123150	12288369	0	240341500	4446939	12042282	52754704	26160220	0	9696146	12236621	815947900	64399230	11138025	0	0	4278782.5	9433162	936913300	39693784
"sp|O75821|EIF3G_HUMAN"	"HUMAN"	4000048400	4066253600	3776199400	3771865000	4943020000	4777895000	4077497300	4144128800	3920479500	4775496000	3888778000	3839710500	4909770000	4203718400	4218293800	4064122400	3765386200	4768277000	4186365200	3980589300	4641132500	4274002200	4226318000	3938409000
"sp|O75822|EIF3J_HUMAN"	"HUMAN"	4077617400	3630166300	5070288400	4967902700	4432130000	5057109500	4563057700	5378270000	4442459600	4710905300	4911836700	3832317400	4100205600	4976340000	4786965000	3978171000	3573556500	3975580200	3977959000	4257024000	3900690200	4822097000	3696927000	3681251600
"sp|O75828|CBR3_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|O75832|PSD10_HUMAN"	"HUMAN"	6057760000	841274500	1065802700	1143808900	8515845600	1008550000	7073202700	10032638000	1074480500	942378100	969754050	9791261000	3147929300	6193423000	6409228000	6320875000	882961800	6022831000	1014596540	5707229700	1103961700	1021709060	1056046200	655133950
"sp|O75844|FACE1_HUMAN"	"HUMAN"	2860470	0	11201735	17922774	23768172	15268815	8076650.5	0	14091660	19268176	0	0	4391690.5	11947021	33891456	29432812	14825381	19592094	0	0	12660411	20009346	0	8840802
"sp|O75874|IDHC_HUMAN"	"HUMAN"	2458500000	1952674700	2946809300	3061255700	3027088000	1634346500	2475426300	2133793800	2500073000	2724130600	2203359200	2642697500	3177019400	1898433500	2721668600	2127396500	2393443000	1934516400	2240337000	1917814800	2377198600	2581918500	2017606400	2387091000
"sp|O75879|GATB_HUMAN"	"HUMAN"	0	0	5459165.5	8096833.5	8278375.5	0	0	0	0	0	0	0	0	0	0	0	4330263.5	0	0	0	0	0	0	2367592.2
"sp|O75880|SCO1_HUMAN"	"HUMAN"	0	34872412	0	0	19153642	12882286	14868529	0	27881564	33692428	0	0	0	0	36623000	0	50734650	26125866	0	0	60420340	41760676	26817852	33736770
"sp|O75886|STAM2_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5922159	0	10824685	7151087.5	0	0	0
"sp|O75909|CCNK_HUMAN"	"HUMAN"	196324000	150814270	196375040	258790620	139221710	117579910	119987680	31207114	315205060	197535580	257441660	110182240	294517340	57129756	146525810	243712700	240062930	209477650	69820424	101514584	153683940	86827140	103243630	70224020
"sp|O75911|DHRS3_HUMAN"	"HUMAN"	0	1300452	0	13321672	0	0	0	0	0	0	0	0	0	14311970	0	0	0	0	0	0	0	0	0	0
"sp|O75925|PIAS1_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	21488568	0	0	0	0	0	7558527.5	0	0	0	0	0
"sp|O75934|SPF27_HUMAN"	"HUMAN"	448388800	455711400	478918460	457503550	336629800	517916400	430302460	260661760	362811600	400571400	356361730	271612320	543189250	531612300	476172740	298110400	229739700	343283940	419344400	283388130	357365120	440193660	204045380	384126270
"sp|O75935|DCTN3_HUMAN"	"HUMAN"	82479040	155911400	151118130	69558180	84670870	190290780	234914450	245243340	204117400	142604350	151026350	77049020	159765700	224806910	200718370	271307680	187793860	274084480	150641740	130160984	165019200	162395660	225919970	254407140
"sp|O75937|DNJC8_HUMAN"	"HUMAN"	906219700	879768100	1469902600	1591450100	1420597000	1340361500	1787881300	960469760	1402060900	1487456500	1705833700	1326456400	1515992700	1196846600	1471785300	1348197100	1588831900	1745481700	1175515100	1171853000	1784053500	1300632600	1737638100	1738393100
"sp|O75940|SPF30_HUMAN"	"HUMAN"	207352500	182814190	174742190	211810180	213440100	227325180	213551200	421029250	209235710	242491170	85263360	78661280	391160640	208987650	216563620	184341800	206266610	500646850	323957200	194098980	222410380	176104050	172200430	233192380
"sp|O75943|RAD17_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	569821.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|O75947|ATP5H_HUMAN"	"HUMAN"	1773332500	1560224400	1722201100	1488150100	1516861400	1747008400	1753389700	1345928100	2198882600	1475445000	1498009100	1309877900	1871088500	1696213200	1762948200	1619702100	1417170000	1429383400	1634278500	1350360000	1397621400	1520198300	1528098200	1497610800
"sp|O75955|FLOT1_HUMAN"	"HUMAN"	696116100	840907500	1025807000	905991550	899335500	877349100	1091645200	661720060	977948100	1087186600	965956600	921577500	1007103400	1037891200	1109911300	1090801400	1011739650	999931840	991449860	1022765900	946553340	1028849000	1932710400	913701250
"sp|O75964|ATP5L_HUMAN"	"HUMAN"	710385150	704068100	669380000	716617700	728961900	735547400	723647200	737734140	701130500	739243000	697536900	691885600	930562750	744200450	728722560	691447040	680867900	690111900	684318000	652520640	689552450	631624450	668958140	651551360
"sp|O75976|CBPD_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	16154285	33993410	0	0	0	81373500	0	0	0	5351275	0	0
"sp|O76003|GLRX3_HUMAN"	"HUMAN"	2947188000	3003489000	3032804000	3500183600	3279834600	3212375000	3542044200	3477150000	3064276700	3353923800	3710512400	3713465900	3587097600	3022427600	3562636800	3766425600	3326259200	3424962600	3396557800	3694912800	3222646000	3418983400	3533272000	2952163800
"sp|O76015|KRT38_HUMAN"	"HUMAN"	164296420	0	0	0	0	0	0	0	0	0	0	0	154429460	0	0	0	0	0	0	0	7317065.5	0	0	0
"sp|O76021|RL1D1_HUMAN"	"HUMAN"	2121066800	2028067800	4461706000	4756506600	2663088600	2470928600	2955381800	2829313000	2225758700	2789108000	2778527000	2882387000	2796701000	2448028200	2698930700	2869578500	2188205300	2722959000	2402090200	2738446000	2500907800	2653895700	2764461800	2666776000
"sp|O76031|CLPX_HUMAN"	"HUMAN"	471223650	729490940	375272450	209497840	344731140	394163620	338734050	178553400	506907040	381239650	259949810	305156670	760507260	325923620	417347400	295729250	487325220	426782050	175958430	333488860	584292400	537802000	321375840	276131900
"sp|O76070|SYUG_HUMAN"	"HUMAN"	941429400	995730700	944065860	1001665300	891089500	613259840	1030449900	1018838300	1193064800	851125250	681687900	798576260	952964800	907097860	1030440960	991166700	1042984800	703172030	1286028900	1058413900	810049540	860977900	894078300	690151000
"sp|O76071|CIAO1_HUMAN"	"HUMAN"	567103500	334673630	398379740	433628380	384816100	499835780	300041920	362483740	384319070	357917120	457909860	266642640	532525980	423789020	427004000	433100260	277709020	350535230	457412740	211777310	421683840	426404130	340938880	254013120
"sp|O76075|DFFB_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	3019327.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|O76080|ZFAN5_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6588175	0	0	0	0	0	0	1896360.2	0	0
"sp|O76087|GAGE7_HUMAN"	"HUMAN"	4556289500	4025081000	3761433000	3815705600	3979997200	3621218000	3878852600	3383571000	4061525000	3675547600	3773355000	3627884000	5358372400	3131737300	3575463000	3715384600	4135460600	3827436500	3594992000	3454003200	3677927700	3245912300	3465931500	3425315800
"sp|O76094|SRP72_HUMAN"	"HUMAN"	2419158800	1510535800	2489185500	2907813600	1779517800	1191498800	2754479000	1367455200	2406705400	1677562800	2897346800	2329845800	3296847400	1655276500	1625549200	1345695900	2568177700	1387660200	991663000	1194508300	2102021500	1606035100	1233564800	715892540
"sp|O76095|JTB_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	10043446	0	0	0	7328345.5	0	0	0	0	0	0
"sp|O94761|RECQ4_HUMAN"	"HUMAN"	0	0	0	0	0	324502430	0	0	0	429368030	0	3077138.5	0	1899411	0	0	0	486605730	0	7714151	0	0	0	0
"sp|O94762|RECQ5_HUMAN"	"HUMAN"	0	4225385.5	0	0	63489490	0	0	0	0	0	2266863.8	0	4648783	0	4687637.5	0	2920626	0	0	0	3057277.5	0	0	0
"sp|O94763|RMP_HUMAN"	"HUMAN"	22394844	7494602.5	12673484	18732516	21011812	15612040	274928300	0	0	0	21595194	25304770	47631216	109589680	27153548	22545024	26832184	14399350	0	0	3136691	6144299	0	0
"sp|O94776|MTA2_HUMAN"	"HUMAN"	3046114000	2856987400	3810842600	3462636300	3453981000	3418857000	3985596200	3611358700	2487314200	3616835000	3991249700	3719507700	3891079700	2869808400	3824191000	3807633000	2641051100	3892916000	3600592600	3596034300	3044689700	3863131400	3744607700	3470570500
"sp|O94782|UBP1_HUMAN"	"HUMAN"	0	11639300	0	0	1962896.5	5409269	0	15704173	0	10203309	0	13937449	20778798	9595531	0	6870956	10524992	0	0	44973776	13173190	0	11520807	29265622
"sp|O94788|AL1A2_HUMAN"	"HUMAN"	5451664000	4985736000	5693756000	6376520000	5258031000	5443659300	6403257000	5789361700	5507399000	6464430600	6037455000	5637438500	6084817400	4546773000	6556561000	6037444600	5518128000	5692301000	5538317000	5407055400	4910017000	5799772700	5840717300	5417238000
"sp|O94817|ATG12_HUMAN"	"HUMAN"	16846700	0	23373266	0	25797108	22571260	17057226	16630437	12068660	23925484	3893166	14226162	32798780	22042262	23326692	0	0	24162322	18876672	17374302	11174767	23854232	0	0
"sp|O94822|LTN1_HUMAN"	"HUMAN"	650430400	558063900	514331420	661903600	432684060	636319100	1156507300	955216450	469431140	507097100	734394050	631006500	554646100	473717100	779838340	576837060	655725060	490736400	476534820	557341600	577872200	541638900	570728800	180487680
"sp|O94826|TOM70_HUMAN"	"HUMAN"	911847600	978281500	694754370	639244740	1074055600	797464770	908512900	831999600	840855040	880001300	811312960	691750800	1491401600	1015345600	1064139650	447180320	934138400	588495400	903195900	1086057200	634991900	881119700	763642050	557843200
"sp|O94829|IPO13_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|O94830|DDHD2_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	13105795	0	0	0	11397847	0	0	0	0	0	0	0	0	0	0	0
"sp|O94832|MYO1D_HUMAN"	"HUMAN"	23385872	19974424	35192880	33977612	35240384	43348984	0	39558780	28293116	49446000	24721702	34644220	40408870	38672452	56425840	43966144	58521250	41915868	108719940	113040690	17832012	63380030	58459430	34838430
"sp|O94842|TOX4_HUMAN"	"HUMAN"	57801720	67252500	82519576	36419750	34223664	43658570	87162350	69314660	0	85854560	36864904	60186260	30156000	77921150	97850920	49341092	92308990	76806640	30212388	85738900	85181656	43638452	68746910	0
"sp|O94855|SC24D_HUMAN"	"HUMAN"	2550130.8	3449372.5	21411528	11996858	0	1388226.6	0	0	0	22882112	13927967	16908692	0	0	0	0	8370902.5	0	0	0	9589032	17924632	13370023	11916177
"sp|O94864|ST65G_HUMAN"	"HUMAN"	529197540	514214850	531232580	0	496476350	0	0	0	515661820	501745630	0	0	233961280	273559330	250304580	0	160027970	258552830	257586560	0	0	262043700	0	0
"sp|O94874|UFL1_HUMAN"	"HUMAN"	379153760	304192030	281822500	312522880	395280600	333459360	114476370	235441310	392231040	341037660	107434104	250877860	295956830	277399940	172557730	145415200	135787760	47153280	38168604	171567660	84502580	346238980	205757230	133636860
